Kernel name,Instrumented,Fuzzed
StatsAggregatorSetSummaryWriterOp,1,0
StatsAggregatorSummaryOp,0,0
StridedSliceAssignOp,0,0
StridedSliceGradOp,1,1
StridedSliceOp,1,1
StringFormatOp,1,1
StringJoinOp,1,1
StringLengthOp,1,1
StringLowerOp,1,1
StringNGramsOp,1,1
StringSplitOp,1,1
StringSplitV2Op,1,1
StringStripOp,1,1
StringToHashBucketOp,1,1
StringToKeyedHashBucketOp,1,1
StringToNumberOp,1,1
StringUpperOp,1,1
SubstrOp,1,1
SummaryAudioOp,1,1
SummaryImageOp,1,1
SummaryTensorOp,1,1
SummaryTensorOpV2,1,1
SwitchNOp,1,1
SwitchOp,1,1
TakeManySparseFromTensorsMapOp,1,1
TemporaryVariableOp,0,0
TensorArrayCloseOp,0,0
TensorArrayConcatOp,0,0
TensorArrayCreationOp,0,0
TensorArrayPackOrGatherOp,0,0
TensorArrayReadOp,0,0
TensorArraySizeOp,0,0
TensorArraySplitOp,0,0
TensorArrayUnpackOrScatterOp,0,0
TensorArrayWriteOp,0,0
TensorListConcat,0,0
TensorListConcatLists,0,0
TensorListElementShape,0,0
TensorListFromTensor,0,0
TensorListGather,0,0
TensorListGetItem,0,0
TensorListLength,0,0
TensorListPopBack,0,0
TensorListPushBack,0,0
TensorListPushBackBatch,0,0
TensorListReserve,0,0
TensorListResize,0,0
TensorListScatter,0,0
TensorListScatterIntoExistingList,0,0
TensorListSetItem,0,0
TensorListSplit,0,0
TensorListStack,0,0
TensorMapErase,1,1
TensorMapHasKey,1,1
TensorMapInsert,1,1
TensorMapLookup,1,1
TensorMapSize,1,1
TensorMapStackKeys,1,1
TensorScatterOp,1,1
TensorToHashBucketOp,1,0
ThreadPoolHandleOp,0,0
TileGradientOp,1,0
TileOp,1,1
TimestampOp,1,1
ToBoolOp,1,1
TopK,1,1
ToSingleElementOp,1,1
TransposeOp,1,1
UnaryOp,1,1
UnaryOpsComposition,1,1
UnaryVariantOp,1,1
UncompressElementOp,1,1
UnicodeDecodeBaseOp,1,1
UnicodeEncodeOp,1,1
UnicodeScriptOp,1,1
UnicodeTranscodeOp,1,1
UniqueOp,1,1
UnpackOp,1,1
UnravelIndexOp,1,1
UnsortedSegmentJoinOp,1,1
UnsortedSegmentReductionOp,1,1
UnstageOp,1,1
UpperBoundOp,1,1
VarHandleOp,0,0
VariableOp,1,1
VariableShapeOp,1,0
VarIsInitializedOp,0,0
WhereCPUOp,1,1
WhileOp,1,1
WriteAudioSummaryOp,0,0
WriteFileOp,1,1
WriteGraphSummaryOp,0,0
WriteHistogramSummaryOp,0,0
WriteImageSummaryOp,0,0
WriteRawProtoSummaryOp,0,0
WriteScalarSummaryOp,0,0
WriteSummaryOp,0,0
ZerosLikeOp,1,1
,,
Totals,539,412
